_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,COMMON_NAME,DBH_TRUNK,geometry
3319853,9093,605789,11,TURPIN AVE,GOLFDOWN DR,ELMHURST DR,,0.0,10.0,,1.0,"Kentucky Coffeetree, 'Espresso'",6.0,"{'type': 'Point', 'coordinates': (-79.5542779611857, 43.7234973115956)}"
3319854,9094,4792,718,SHEPPARD AVE W,BRYANT ST,HARLOCK BLVD,,0.0,10.0,,6.0,"Maple, Norway",27.0,"{'type': 'Point', 'coordinates': (-79.4452775893637, 43.7542386014971)}"
3319855,9095,564455,51,MARESFIELD DR,PONYMILL DR,PONYMILL DR,,0.0,10.0,,23.0,"Linden, Littleleaf",47.0,"{'type': 'Point', 'coordinates': (-79.2669531848541, 43.8193559033785)}"
3319856,9096,196416,157,WOODFIELD RD,DUNDAS ST E,LN S GERRARD E WOODFIELD,,0.0,10.0,,14.0,"Maple, Norway 'Crimson King'",4.0,"{'type': 'Point', 'coordinates': (-79.3222905374932, 43.6684007514955)}"
3319857,9097,613739,2,BONIS AVE,BAY MILLS BLVD,KING HENRY'S BLVD,,0.0,30.0,,22.0,"Maple, Norway",35.0,"{'type': 'Point', 'coordinates': (-79.2988390957047, 43.7842000269278)}"
3319858,9098,480172,54,FLORENCE CRES,PRITCHARD AVE,ESPOSITO CRES,,0.0,10.0,,5.0,"Maple, Japanese",3.0,"{'type': 'Point', 'coordinates': (-79.494837086214, 43.6687402091138)}"
3319859,9099,53767,59,HAILEYBURY DR,BONNECHERE CRES,SHEDIAC RD,,0.0,30.0,,21.0,"Spruce, Norway",46.0,"{'type': 'Point', 'coordinates': (-79.2578273429178, 43.7469893945281)}"
3319860,9100,522369,138,WARREN RD,ST CLAIR AVE W,HEATH ST W,,0.0,100.0,,12.0,"Maple, Japanese",7.0,"{'type': 'Point', 'coordinates': (-79.4075422626317, 43.6875682099429)}"
3319861,9101,323818,2680,MIDLAND AVE,MONTGOMERY AVE SCARBOROUGH,HAVENDALE RD,,0.0,30.0,,22.0,"Maple, Norway",47.0,"{'type': 'Point', 'coordinates': (-79.2817739360288, 43.7919619320834)}"
3319862,9102,NY144549,29,OMAGH AVE,WESTON RD,GRIFFITH ST,,0.0,10.0,,7.0,"Spruce, Norway",36.0,"{'type': 'Point', 'coordinates': (-79.5388572912419, 43.7192444460683)}"
3319863,9103,TO42366,93,GLOUCESTER ST,CHURCH ST TORONTO,JARVIS ST,,0.0,10.0,,13.0,"Maple, Norway 'Crimson King'",42.0,"{'type': 'Point', 'coordinates': (-79.3804738447552, 43.6675428767616)}"
3319864,9104,361335,53,THORNCLIFFE PARK DR,MILEPOST PL,OVERLEA BLVD,,0.0,60.0,,15.0,"Honey locust, 'Sunburst'",8.0,"{'type': 'Point', 'coordinates': (-79.3414625826122, 43.7029906157948)}"
3319865,9105,NY37182,5,WAKUNDA PL,O'CONNOR DR,,,0.0,20.0,,19.0,"Elm, Siberian",25.0,"{'type': 'Point', 'coordinates': (-79.3046691881214, 43.7155566605111)}"
3319866,9106,NY78659,7,GEORGE HENRY BLVD,MANORPARK CRT,QUINCY CRES,,0.0,50.0,,17.0,"Maple, Norway",28.0,"{'type': 'Point', 'coordinates': (-79.3568308530776, 43.769752435799)}"
3319867,9107,593165,295,CHARTLAND BLVD S,BRIARSCROSS BLVD,HARTLEYWOOD DR,,0.0,99.0,IROQUOIS PARK - FIELD HOUSE,23.0,"Spruce, Colorado blue",35.0,"{'type': 'Point', 'coordinates': (-79.269266016828, 43.8038946665723)}"
3319868,9108,381580,1394,WILSON AVE,PRIVET RD,WILLIAM CRAGG DR,,0.0,10.0,,6.0,Ginkgo,8.0,"{'type': 'Point', 'coordinates': (-79.50033729445842, 43.7228482826741)}"
3319869,9109,NY63041,4,FLAMINGO CRES,AMESBURY DR,ARROWSMITH AVE,,0.0,10.0,,5.0,"Honey locust, 'Skyline'",38.0,"{'type': 'Point', 'coordinates': (-79.4811185009678, 43.7020084663231)}"
3319870,9110,93356,54,LENTHALL AVE,ROBBINSTONE DR,MALVERN ST,,0.0,10.0,,23.0,Mountain ash,30.0,"{'type': 'Point', 'coordinates': (-79.2366644391511, 43.7987547419047)}"
3319871,9111,540752,56,COSMIC DR,HARLINGTON RD,HARLINGTON RD,,0.0,20.0,,15.0,"Pine, Austrian",37.0,"{'type': 'Point', 'coordinates': (-79.3709119280377, 43.751183926438)}"
3319872,9112,68170,40,ANTHIA DR,BRUNO CRT,THOROLD GT,,0.0,10.0,,7.0,"Basswood, Redmond",32.0,"{'type': 'Point', 'coordinates': (-79.5729814667644, 43.764097124777805)}"
3319873,9113,NY48400,78,CROSSBOW CRES,BRIAN DR,BRIAN DR,,0.0,20.0,,17.0,"Linden, littleleaf 'Greenspire'",60.0,"{'type': 'Point', 'coordinates': (-79.3351449908225, 43.7802810919667)}"
3319874,9114,ET88257,117,ROYALAVON CRES,MATTICE RD,HOLLOWAY RD,,0.0,20.0,,3.0,"Maple, silver",103.0,"{'type': 'Point', 'coordinates': (-79.5353760938201, 43.6485586809523)}"
3319875,9115,577149,45,AUTUMN GLEN CRCL,,,,0.0,10.0,,1.0,"Linden, littleleaf 'Greenspire'",8.0,"{'type': 'Point', 'coordinates': (-79.6090634799929, 43.7325885723265)}"
3319876,9116,119348,2230,LAWRENCE AVE E,CANLISH RD,KENNEDY RD,,0.0,30.0,,21.0,Kentucky coffee,5.0,"{'type': 'Point', 'coordinates': (-79.2785549203293, 43.7489152760718)}"
3319877,9117,NY47423,636,WOBURN AVE,LEDBURY ST,LN E BATHURST N WOBURN,,0.0,10.0,,8.0,"Basswood, American",86.0,"{'type': 'Point', 'coordinates': (-79.4252760059269, 43.7237207694476)}"
3319878,9118,146981,31,BRUNEL CRT,FORT YORK BLVD,,,0.0,10.0,,10.0,Ginkgo,10.0,"{'type': 'Point', 'coordinates': (-79.39414198373632, 43.639705968455004)}"
3319879,9119,TO51540,137,ISABELLA ST,HUNTLEY ST,SHERBOURNE ST,,0.0,20.0,,13.0,Honey locust,32.0,"{'type': 'Point', 'coordinates': (-79.3768114689378, 43.6693617133467)}"
3319880,9120,379376,100,SCOLLARD ST,BAY ST,LN E HAZELTON S SCOLLARD,,0.0,10.0,,11.0,"Pear, 'Chanticleer'",10.0,"{'type': 'Point', 'coordinates': (-79.392078686721, 43.6718664189637)}"
3319881,9121,126149,5,BRAHMS AVE,FINCH AVE E,RAMEAU DR,,0.0,60.0,,17.0,"Maple, Freeman 'Autumn Blaze'",17.0,"{'type': 'Point', 'coordinates': (-79.3570164631779, 43.7923297483904)}"
3319882,9122,ET46992,582,HORNER AVE,SUNSET AVE,CHELSEA DR,,0.0,30.0,,3.0,"Maple, silver",67.0,"{'type': 'Point', 'coordinates': (-79.5518801412847, 43.6006096554645)}"
3319883,9123,425368,2,TWYFORD CRT,PRINCESS ANNE CRES,,,0.0,30.0,,2.0,"Apple, Sargents",84.0,"{'type': 'Point', 'coordinates': (-79.5365709951665, 43.6694915867791)}"
3319884,9124,182640,57,LEACROFT CRES,BANBURY RD,BANBURY RD,,0.0,10.0,,15.0,"Maple, Freeman 'Autumn Blaze'",6.0,"{'type': 'Point', 'coordinates': (-79.3602784042265, 43.7373740230843)}"
